recall_number,status,classification,state,country,recalling_firm,product_description,reason_for_recall,voluntary_mandated,recall_initiation_date,report_date,termination_date
H-0030-2025,Terminated,Class I,FL,United States,LIPMAN FAMILY FARMS,"Cucumber Super Selec Repacked by Lipman Produce Hendersonville, NC 28792, Product of USA",Potential Salmonella Contamination,Voluntary: Firm initiated,20250520,20250618,20250807
F-0960-2013,Terminated,Class I,IN,United States,"United Natural Foods, Inc. - Greenwood","Kinnikinnick Pie Crust (frozen), Weight: 290 g/10 oz, Qty/Pkg: 2, Product packaged in a cardboard box with printed label. UPC: 62013300600 9","Kinnikinnick Foods, Inc. in Edmonton, Alberta Canada indicated that United Natural Foods Inc. distributors received pie crusts in association with their expanded recall/allergy alert issued 01/17/13.",Voluntary: Firm initiated,20130117,20130206,20130930
F-1683-2015,Terminated,Class II,CA,United States,Health One Pharmaceuticals Inc,SOD Herbal Mix,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,Voluntary: Firm initiated,20150204,20150408,20150331
F-0970-2022,Terminated,Class I,NY,United States,"Fruit Fresh Up, Inc.",1. Wegmans 10oz Watermelon Chunks	  2. Wegmans 32oz Watermelon Chunks  3.Fresh Harvest 18oz Watermelon Chunks  4. Tops Large Watermelon	BBD: 3/5/22 to	BBD: 3/22/22  5. Tops Small Watermelon 	BBD: 3/5/22 to	BBD: 3/22/22  6. Lexington Co-op 10oz Watermelon Chunks  7. Lexington Co-op 32oz Watermelon Chunks  8. Wegmans 24oz Mini Watermelon Hearts	  9. EDU Kids 2 oz. watermelon tidbits,may be contaminated with Listeria monocytogenes,Voluntary: Firm initiated,20220318,20220413,20230821
F-1957-2018,Terminated,Class II,MI,United States,Gourmet International Inc.,"SPARKLING POMEGRANETE JUICE DRNK, 6/34 oz., glass bottles",Gourmet International Inc. is voluntarily recalling LItaly Sparkling Juice Beverages due to packaging concerns following multiple reports of leaking caps.,Voluntary: Firm initiated,20180705,20180829,20181004
F-1199-2017,Terminated,Class I,CO,United States,"All American Seasonings, Inc.",Nacho Snack Seasoning / Harvest Pride /Tom Smith. Product Code: T3809. 50 lb bags,Products have been recalled due to potential for Salmonella contamination.,Voluntary: Firm initiated,20161207,20170118,20170508
F-0960-2016,Terminated,Class II,MA,United States,Bj Wholesale Club,ITALIAN SANDWICH RING.  This is a deli service item,Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,Voluntary: Firm initiated,20160205,20160413,20170124
F-0131-2016,Terminated,Class I,AR,United States,Shearer's Foods Inc.,ON THE BORDER MEXICAN GRILL & CANTINA Cafe Style Tortilla Chips 18 oz. bags,Product may have been exposed to a milk-containing ingredient.,Voluntary: Firm initiated,20150924,20151111,20160707
F-0889-2016,Terminated,Class III,TX,United States,"C. H. Guenther & Son, Inc.dba Morrison Milling",Morrison's Pancake Mix Net Wt 5 LB (2.27 kg),May contain small metal fragments from wire mesh sifter.,Voluntary: Firm initiated,20151207,20160420,20160802
H-0286-2026,Terminated,Class I,NJ,United States,CHETAK NEW YORK LLC,Deep-brand PREMIUM Select Peas and Carrots KEEP FROZEN Net Wt. 2 LB (907 g),Product tested positive Salmonella .,Voluntary: Firm initiated,20250905,20251217,20260212
